EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info
1.686,0.531,32,32_0,8,3,True,1,0.0316640785846296,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,33,33_0,8,3,True,1,0.0316697795995513,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,34,34_0,8,3,True,1,0.0316607977455282,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,35,35_0,8,3,True,1,0.0316548300272809,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,36,36_0,8,3,True,1,0.0316582311089082,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,37,37_0,8,3,True,1,0.03060159985272,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,38,38_0,8,3,True,1,0.0306648457087273,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,39,39_0,8,3,True,1,0.0306978329213882,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,40,40_0,8,3,True,1,0.0307267968716746,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,41,41_0,8,3,True,1,0.0304525704735111,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,42,42_0,8,3,True,1,0.0304651124045082,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,43,43_0,8,3,True,1,0.0304938486807813,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,44,44_0,8,3,True,1,0.030491225602482,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,45,45_0,8,3,True,1,0.0304183067172462,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,46,46_0,8,3,True,1,0.0304225046817258,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,47,47_0,8,3,True,1,0.0304298649946706,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,48,48_0,8,3,True,1,0.030440280220847,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,49,49_0,8,3,True,1,0.0302566323732791,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,50,50_0,8,3,True,1,0.0302537472386068,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,51,51_0,8,3,True,1,0.0302516312111388,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,52,52_0,8,3,True,1,0.0302615063963678,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,53,53_0,8,3,True,1,0.0300074250902642,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,54,54_0,8,3,True,1,0.0299985393613435,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,55,55_0,8,3,True,1,0.0299929942928717,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,56,56_0,8,3,True,1,0.0299887075690422,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
1.686,0.531,57,57_0,8,3,True,1,0.0299876295362619,250,COMPLETED,GPEI,32.0,16.0,20032,"C: [8], K: [3], P: ['True'], S: [1], D: [32, 16]"
