EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,learning_rate,batch_size,trial_status,generation_method,units_1,units_2,OPs,info,OPs,info
1.962,0.575,7,7_0,16,1,True,1,0.0691973653475754,400,COMPLETED,Sobol,16.0,32.0,14400,"C: [16], K: [1], P: ['True'], S: [1], D: [16, 32]",14400,"C: [16], K: [1], P: ['True'], S: [1], D: [16, 32]"
3.432,1.521,8,8_0,64,1,True,4,0.0835729920505546,400,COMPLETED,Sobol,32.0,64.0,11376,"C: [64], K: [1], P: ['True'], S: [4], D: [32, 64]",11376,"C: [64], K: [1], P: ['True'], S: [4], D: [32, 64]"
3.457,1.543,9,9_0,2,1,False,1,0.0511011439414694,100,COMPLETED,Sobol,16.0,64.0,5728,"C: [2], K: [1], P: ['False'], S: [1], D: [16, 64]",5728,"C: [2], K: [1], P: ['False'], S: [1], D: [16, 64]"
100.0,10.0,10,10_0,64,3,False,2,0.0540890116191469,400,COMPLETED,Sobol,64.0,16.0,55904,"C: [64], K: [3], P: ['False'], S: [2], D: [64, 16]",55904,"C: [64], K: [3], P: ['False'], S: [2], D: [64, 16]"
1.788,0.56,11,11_0,4,3,True,1,0.006450719222147,100,COMPLETED,Sobol,16.0,32.0,9280,"C: [4], K: [3], P: ['True'], S: [1], D: [16, 32]",9280,"C: [4], K: [3], P: ['True'], S: [1], D: [16, 32]"
1.893,0.587,12,12_0,2,5,True,1,0.0161463499985635,150,COMPLETED,Sobol,16.0,16.0,8752,"C: [2], K: [5], P: ['True'], S: [1], D: [16, 16]",8752,"C: [2], K: [5], P: ['True'], S: [1], D: [16, 16]"
1.922,0.56,13,13_0,64,1,True,1,0.0466599628883414,350,COMPLETED,Sobol,16.0,32.0,51264,"C: [64], K: [1], P: ['True'], S: [1], D: [16, 32]",51264,"C: [64], K: [1], P: ['True'], S: [1], D: [16, 32]"
100.0,10.0,14,14_0,16,5,False,1,0.0120791184032335,250,COMPLETED,Sobol,32.0,32.0,72784,"C: [16], K: [5], P: ['False'], S: [1], D: [32, 32]",72784,"C: [16], K: [5], P: ['False'], S: [1], D: [32, 32]"
3.432,1.521,15,15_0,32,1,False,4,0.0055115753144025,200,COMPLETED,Sobol,32.0,64.0,8816,"C: [32], K: [1], P: ['False'], S: [4], D: [32, 64]",8816,"C: [32], K: [1], P: ['False'], S: [4], D: [32, 64]"
2.058,0.68,16,16_0,4,3,False,2,0.0192236432134625,100,COMPLETED,GPEI,32.0,64.0,8560,"C: [4], K: [3], P: ['False'], S: [2], D: [32, 64]",8560,"C: [4], K: [3], P: ['False'], S: [2], D: [32, 64]"
1.767,0.594,17,17_0,8,5,False,4,0.0116575525320901,150,COMPLETED,GPEI,32.0,64.0,8432,"C: [8], K: [5], P: ['False'], S: [4], D: [32, 64]",8432,"C: [8], K: [5], P: ['False'], S: [4], D: [32, 64]"
1.72,0.568,18,18_0,8,3,False,2,0.0122921223677403,150,COMPLETED,GPEI,16.0,64.0,7776,"C: [8], K: [3], P: ['False'], S: [2], D: [16, 64]",7776,"C: [8], K: [3], P: ['False'], S: [2], D: [16, 64]"
1.625,0.527,19,19_0,8,3,False,2,0.01298116159443,100,COMPLETED,GPEI,32.0,64.0,10864,"C: [8], K: [3], P: ['False'], S: [2], D: [32, 64]",10864,"C: [8], K: [3], P: ['False'], S: [2], D: [32, 64]"
1.632,0.545,0,0_0,4,5,False,1,0.0151980498313903,250,COMPLETED,Sobol,16.0,,15904,"C: [4], K: [5], P: ['False'], S: [1], D: [16]",15904,"C: [4], K: [5], P: ['False'], S: [1], D: [16]"
1.635,0.518,1,1_0,4,3,True,1,0.0687893523122184,250,COMPLETED,Sobol,32.0,,10288,"C: [4], K: [3], P: ['True'], S: [1], D: [32]",10288,"C: [4], K: [3], P: ['True'], S: [1], D: [32]"
1.878,0.617,2,2_0,2,5,True,1,0.0348615403290838,350,COMPLETED,Sobol,64.0,,12880,"C: [2], K: [5], P: ['True'], S: [1], D: [64]",12880,"C: [2], K: [5], P: ['True'], S: [1], D: [64]"
1.413,0.455,3,3_0,32,5,True,2,0.0157223328380845,250,COMPLETED,Sobol,32.0,,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]",35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
2.134,0.689,4,4_0,8,3,True,2,0.0417588307316415,100,COMPLETED,Sobol,64.0,,8784,"C: [8], K: [3], P: ['True'], S: [2], D: [64]",8784,"C: [8], K: [3], P: ['True'], S: [2], D: [64]"
100.0,10.0,5,5_0,64,5,True,1,0.0096365046580322,300,COMPLETED,Sobol,16.0,,246304,"C: [64], K: [5], P: ['True'], S: [1], D: [16]",246304,"C: [64], K: [5], P: ['True'], S: [1], D: [16]"
100.0,10.0,6,6_0,32,3,False,1,0.0290750266440212,250,COMPLETED,Sobol,64.0,,108624,"C: [32], K: [3], P: ['False'], S: [1], D: [64]",108624,"C: [32], K: [3], P: ['False'], S: [1], D: [64]"
100.0,10.0,7,7_0,64,5,False,2,0.0915408524056896,150,COMPLETED,Sobol,32.0,,70704,"C: [64], K: [5], P: ['False'], S: [2], D: [32]",70704,"C: [64], K: [5], P: ['False'], S: [2], D: [32]"
3.464,1.51,8,8_0,16,1,True,2,0.0268260042446665,100,COMPLETED,Sobol,16.0,,3616,"C: [16], K: [1], P: ['True'], S: [2], D: [16]",3616,"C: [16], K: [1], P: ['True'], S: [2], D: [16]"
2.248,0.742,9,9_0,2,5,True,2,0.0018027872762642,300,COMPLETED,Sobol,16.0,,2464,"C: [2], K: [5], P: ['True'], S: [2], D: [16]",2464,"C: [2], K: [5], P: ['True'], S: [2], D: [16]"
1.694,0.543,10,10_0,8,5,False,4,0.0474815440461039,250,COMPLETED,Sobol,16.0,,2464,"C: [8], K: [5], P: ['False'], S: [4], D: [16]",2464,"C: [8], K: [5], P: ['False'], S: [4], D: [16]"
3.432,1.521,11,11_0,2,1,True,4,0.0142918841998092,150,COMPLETED,Sobol,32.0,,1232,"C: [2], K: [1], P: ['True'], S: [4], D: [32]",1232,"C: [2], K: [1], P: ['True'], S: [4], D: [32]"
3.374,1.328,12,12_0,4,3,True,4,0.0084097447157837,150,COMPLETED,Sobol,32.0,,1648,"C: [4], K: [3], P: ['True'], S: [4], D: [32]",1648,"C: [4], K: [3], P: ['True'], S: [4], D: [32]"
1.63,0.535,13,13_0,8,5,False,4,0.0466292886330746,200,COMPLETED,Sobol,32.0,,3248,"C: [8], K: [5], P: ['False'], S: [4], D: [32]",3248,"C: [8], K: [5], P: ['False'], S: [4], D: [32]"
1.707,0.543,14,14_0,16,5,True,2,0.0233241415241527,250,COMPLETED,GPEI,32.0,,18480,"C: [16], K: [5], P: ['True'], S: [2], D: [32]",18480,"C: [16], K: [5], P: ['True'], S: [2], D: [32]"
1.756,0.553,15,15_0,2,5,True,1,0.0380213231522114,250,COMPLETED,GPEI,32.0,,9776,"C: [2], K: [5], P: ['True'], S: [1], D: [32]",9776,"C: [2], K: [5], P: ['True'], S: [1], D: [32]"
1.756,0.553,16,16_0,2,5,True,1,0.0373498583673316,250,COMPLETED,GPEI,32.0,,9776,"C: [2], K: [5], P: ['True'], S: [1], D: [32]",9776,"C: [2], K: [5], P: ['True'], S: [1], D: [32]"
1.413,0.455,17,17_0,32,5,True,2,0.0078976022003712,250,COMPLETED,GPEI,32.0,,35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]",35888,"C: [32], K: [5], P: ['True'], S: [2], D: [32]"
1.635,0.513,18,18_0,4,5,True,1,0.0365768593776402,250,COMPLETED,GPEI,32.0,,18480,"C: [4], K: [5], P: ['True'], S: [1], D: [32]",18480,"C: [4], K: [5], P: ['True'], S: [1], D: [32]"
1.756,0.553,19,19_0,2,5,True,1,0.0352171350982145,300,COMPLETED,GPEI,32.0,,9776,"C: [2], K: [5], P: ['True'], S: [1], D: [32]",9776,"C: [2], K: [5], P: ['True'], S: [1], D: [32]"
