EMD,EMD_error,trial_index,arm_name,filters_1,kernel_1,pooling_1,stride_1,filters_2,kernel_2,pooling_2,stride_2,units_1,trial_status,generation_method,units_2,units_3,filters_3,kernel_3,pooling_3,stride_3,OPs,info
3.464,1.51,7,7_0,56,1,FALSE,2,,,,,,COMPLETED,Sobol,,,,,,,10768,"C: [56], K: [1], P: ['FALSE'], S: [2], D: []"
3.464,1.51,3,3_0,58,1,FALSE,2,,,,,43,COMPLETED,Sobol,,,,,,,25099,"C: [58], K: [1], P: ['FALSE'], S: [2], D: [43]"
3.464,1.51,4,4_0,23,1,FALSE,2,,,,,16,COMPLETED,Sobol,,,,,,,4960,"C: [23], K: [1], P: ['FALSE'], S: [2], D: [16]"
3.464,1.51,6,6_0,15,1,TRUE,2,,,,,54,COMPLETED,Sobol,,,,,,,9238,"C: [15], K: [1], P: ['TRUE'], S: [2], D: [54]"
3.464,1.51,2,2_0,53,1,FALSE,2,,,,,24,COMPLETED,Sobol,61,55,,,,,25122,"C: [53], K: [1], P: ['FALSE'], S: [2], D: [24, 61, 55]"
3.464,1.51,4,4_0,59,1,TRUE,2,,,,,29,COMPLETED,Sobol,62,34,,,,,26505,"C: [59], K: [1], P: ['TRUE'], S: [2], D: [29, 62, 34]"
3.464,1.51,2,2_0,22,1,TRUE,2,54,3,FALSE,4,39,COMPLETED,Sobol,,,23,3,TRUE,1,48630,"C: [22, 54, 23], K: [1, 3, 3], P: ['TRUE', 'FALSE', 'TRUE'], S: [2, 4, 1], D: [39]"
3.464,1.51,1,1_0,18,1,TRUE,1,37,1,TRUE,2,,COMPLETED,Sobol,,,61,3,TRUE,1,53131,"C: [18, 37, 61], K: [1, 1, 3], P: ['TRUE', 'TRUE', 'TRUE'], S: [1, 2, 1], D: []"
3.464,1.51,3,3_0,45,1,TRUE,2,,,,,52,COMPLETED,Sobol,48,,,,,,28244,"C: [45], K: [1], P: ['TRUE'], S: [2], D: [52, 48]"
3.505,1.539,4,4_0,,,,,,,,,60,COMPLETED,Sobol,61,33,,,,,20252,"C: [], K: [3], P: [], S: [], D: [60, 61, 33]"
3.51,1.542,7,7_0,,,,,,,,,16,COMPLETED,GPEI,43,,,,,,4875,"C: [], K: [3], P: [], S: [], D: [16, 43]"
3.513,1.48,5,5_0,34,1,FALSE,2,21,1,TRUE,1,60,COMPLETED,Sobol,51,27,,,,,20468,"C: [34, 21], K: [1, 1], P: ['FALSE', 'TRUE'], S: [2, 1], D: [60, 51, 27]"
3.513,1.48,1,1_0,16,1,TRUE,2,23,1,TRUE,1,60,COMPLETED,Sobol,26,54,6,3,TRUE,1,15198,"C: [16, 23, 6], K: [1, 1, 3], P: ['TRUE', 'TRUE', 'TRUE'], S: [2, 1, 1], D: [60, 26, 54]"
3.532,0.99,1,1_0,,,,,,,,,19,COMPLETED,Sobol,61,23,,,,,8411,"C: [], K: [3], P: [], S: [], D: [19, 61, 23]"
3.887,1.568,4,4_0,7,3,FALSE,1,11,5,TRUE,4,,COMPLETED,Sobol,,,2,3,FALSE,1,13351,"C: [7, 11, 2], K: [3, 5, 3], P: ['FALSE', 'TRUE', 'FALSE'], S: [1, 4, 1], D: []"
3.914,0.99,9,9_0,,,,,,,,,26,COMPLETED,GPEI,,,,,,,4202,"C: [], K: [3], P: [], S: [], D: [26]"
4.415,1.341,8,8_0,,,,,,,,,64,COMPLETED,GPEI,56,,,,,,17288,"C: [], K: [3], P: [], S: [], D: [64, 56]"
4.47,1.072,4,4_0,,,,,,,,,53,COMPLETED,Sobol,40,,,,,,12413,"C: [], K: [3], P: [], S: [], D: [53, 40]"
4.606,1.369,9,9_0,,,,,,,,,40,COMPLETED,GPEI,32,41,,,,,11745,"C: [], K: [3], P: [], S: [], D: [40, 32, 41]"
5.121,1.606,5,5_0,42,3,FALSE,1,62,5,FALSE,1,54,COMPLETED,Sobol,29,,20,1,TRUE,2,2147843,"C: [42, 62, 20], K: [3, 5, 1], P: ['FALSE', 'FALSE', 'TRUE'], S: [1, 1, 2], D: [54, 29]"
5.782,1.764,5,5_0,56,5,FALSE,1,42,1,FALSE,4,64,COMPLETED,Sobol,,,35,5,FALSE,2,271565,"C: [56, 42, 35], K: [5, 1, 5], P: ['FALSE', 'FALSE', 'FALSE'], S: [1, 4, 2], D: [64]"
6.46,1.547,0,0_0,46,3,FALSE,1,,,,,25,COMPLETED,Sobol,22,63,,,,,101694,"C: [46], K: [3], P: ['FALSE'], S: [1], D: [25, 22, 63]"
7.071,1.767,7,7_0,54,5,TRUE,1,,,,,62,COMPLETED,Sobol,,,,,,,288910,"C: [54], K: [5], P: ['TRUE'], S: [1], D: [62]"
7.661,2.171,5,5_0,46,1,FALSE,2,55,5,FALSE,1,,COMPLETED,Sobol,,,59,3,FALSE,1,569993,"C: [46, 55, 59], K: [1, 5, 3], P: ['FALSE', 'FALSE', 'FALSE'], S: [2, 1, 1], D: []"
7.682,1.885,8,8_0,6,3,TRUE,1,53,3,FALSE,1,51,COMPLETED,Sobol,48,,,,,,129131,"C: [6, 53], K: [3, 3], P: ['TRUE', 'FALSE'], S: [1, 1], D: [51, 48]"
7.878,1.901,4,4_0,51,5,FALSE,1,35,5,TRUE,2,41,COMPLETED,Sobol,,,3,1,FALSE,2,528848,"C: [51, 35, 3], K: [5, 5, 1], P: ['FALSE', 'TRUE', 'FALSE'], S: [1, 2, 2], D: [41]"
7.906,1.867,7,7_0,54,3,FALSE,1,60,5,FALSE,4,35,COMPLETED,Sobol,24,,,,,,238143,"C: [54, 60], K: [3, 5], P: ['FALSE', 'FALSE'], S: [1, 4], D: [35, 24]"
7.908,1.904,8,8_0,28,5,FALSE,1,58,3,FALSE,2,,COMPLETED,Sobol,,,9,1,TRUE,4,211969,"C: [28, 58, 9], K: [5, 3, 1], P: ['FALSE', 'FALSE', 'TRUE'], S: [1, 2, 4], D: []"
7.914,1.873,1,1_0,38,5,FALSE,1,22,3,TRUE,1,39,COMPLETED,Sobol,26,16,,,,,378269,"C: [38, 22], K: [5, 3], P: ['FALSE', 'TRUE'], S: [1, 1], D: [39, 26, 16]"
